id,response_id,question_id,question_type,answer_data,answered_at,time_spent_seconds,created_at,updated_at
8e3bd902-27b7-496f-a3e5-925e93c20ee7,a8ff527e-8ac3-4ae5-b14c-e32d822e2e94,f8651e54-9484-4723-adff-7f8bbb5b8af7,checkbox,"{""selected"": [""Magnification"", ""Other""]}",2026-02-18 13:05:13+00:00,,2026-04-14 03:03:21.904779+00:00,2026-04-14 03:03:21.904779+00:00
e4205869-3b89-4df5-b3b4-de2a6323a139,a8ff527e-8ac3-4ae5-b14c-e32d822e2e94,e610dc72-86cb-4f69-b5ab-603c2321e1d7,checkbox,"{""selected"": [""ZoomText""]}",2026-02-18 13:05:13+00:00,,2026-04-14 03:03:21.904779+00:00,2026-04-14 03:03:21.904779+00:00
0893cfc8-377c-4910-9e4f-76dee175affb,a8ff527e-8ac3-4ae5-b14c-e32d822e2e94,0f0e253e-b973-4815-860d-a50bebf5a7b4,checkbox,"{""selected"": [""Mac laptop/ desktop""]}",2026-02-18 13:05:13+00:00,,2026-04-14 03:03:21.904779+00:00,2026-04-14 03:03:21.904779+00:00
2b409c20-9602-4b75-92b2-d0ab7330f5ef,a8ff527e-8ac3-4ae5-b14c-e32d822e2e94,459d6801-0f14-4a1c-9c5d-0699e7d60c17,checkbox,"{""selected"": [""Chrome""]}",2026-02-18 13:05:13+00:00,,2026-04-14 03:03:21.904779+00:00,2026-04-14 03:03:21.904779+00:00
ee39829a-189f-41b6-b5a8-008c09d709e3,a8ff527e-8ac3-4ae5-b14c-e32d822e2e94,7641ba4b-0135-4a86-acb8-be42459c0d8e,multi_choice,"{""selected"": ""Advanced""}",2026-02-18 13:05:13+00:00,,2026-04-14 03:03:21.904779+00:00,2026-04-14 03:03:21.904779+00:00
6682477d-4332-4b32-be5e-4d6032dec82d,a8ff527e-8ac3-4ae5-b14c-e32d822e2e94,0808b8bc-b3a9-489a-bd8e-4a143ec0567f,linear_scale,"{""value"": 5}",2026-02-18 13:05:13+00:00,,2026-04-14 03:03:21.904779+00:00,2026-04-14 03:03:21.904779+00:00
3f68b7aa-7383-47a6-a342-697f302fbecf,a8ff527e-8ac3-4ae5-b14c-e32d822e2e94,007db0ac-0107-42b0-98f8-2a5d18aa66fc,multi_choice,"{""selected"": ""I could complete all tasks with ease""}",2026-02-18 13:05:13+00:00,,2026-04-14 03:03:21.904779+00:00,2026-04-14 03:03:21.904779+00:00
504bfdaa-bc87-4158-8abf-ee301bc37883,a8ff527e-8ac3-4ae5-b14c-e32d822e2e94,3e6f1deb-c1d7-4980-90aa-2d3aaf6522dd,linear_scale,"{""value"": 5}",2026-02-18 13:05:13+00:00,,2026-04-14 03:03:21.904779+00:00,2026-04-14 03:03:21.904779+00:00
11c2c03f-1b74-4935-a943-784096b6fb0b,a8ff527e-8ac3-4ae5-b14c-e32d822e2e94,a0109a3f-e8a7-4ddd-b146-73bd342a4b08,multi_choice,"{""selected"": ""Very confident \u2013 I could easily find what I needed to""}",2026-02-18 13:05:13+00:00,,2026-04-14 03:03:21.904779+00:00,2026-04-14 03:03:21.904779+00:00
3def8796-ae6b-4b0e-a905-e395781f6427,a8ff527e-8ac3-4ae5-b14c-e32d822e2e94,6c0f292d-b924-4db4-a6c2-75c4b09758a7,multi_choice,"{""selected"": ""I could access and understand all the information I needed to make a decision""}",2026-02-18 13:05:13+00:00,,2026-04-14 03:03:21.904779+00:00,2026-04-14 03:03:21.904779+00:00
