id,survey_id,section_id,task_id,component_id,is_customized,is_template,is_locked,is_mandatory,is_active,question_key,question_name,category,question_text,question_type,question_order,help_text,metadata,created_at,updated_at
0808b8bc-b3a9-489a-bd8e-4a143ec0567f,71a30d97-675d-4584-b1db-92a7c19f265e,54097c25-5ee9-44cb-b66a-96073550f4b5,,,False,False,False,True,True,overall_accessibility,,,How accessible was your overall experience with this digital product?,linear_scale,1,,{},2026-04-14 03:01:18.443811+00:00,2026-04-14 03:01:18.443811+00:00
0c9b1a42-2180-4dea-a54c-aeca72abb341,71a30d97-675d-4584-b1db-92a7c19f265e,d52b3b18-504f-406a-a734-b2d790b4873a,,,False,False,False,True,True,key_questions_before,,,"Before you began your search for a [product/service], what were the key questions you had or things you wanted to know about [products/services/providers]?",free_text,1,,{},2026-04-14 03:01:18.443811+00:00,2026-04-14 03:01:18.443811+00:00
2bedaf50-5856-4ed1-aaa9-a819849a7277,71a30d97-675d-4584-b1db-92a7c19f265e,913264a2-6435-4338-815b-22337df20bbc,,,False,False,False,False,True,feature_feedback_1,,,How helpful and informative was the information available on the UQ website when you were searching for information on your desired course?,free_text,1,,{},2026-04-14 03:01:18.443811+00:00,2026-04-14 03:01:18.443811+00:00
5ddbde96-2209-492b-ba5c-f3f2e58682a5,71a30d97-675d-4584-b1db-92a7c19f265e,af3cc56c-2044-40ec-83ee-3639f760860f,,f9597c8c-6fa8-469a-803c-1d0de56e7366,False,False,False,True,True,feature_usability,,,How would you rate the usability of Account Creation?,linear_scale,1,,{},2026-04-14 03:01:18.443811+00:00,2026-04-14 03:01:18.443811+00:00
7352e47d-a7d6-4b7c-8906-bbe93de96875,71a30d97-675d-4584-b1db-92a7c19f265e,15a68333-40f0-4ebd-968c-6cc273adf5fc,,,False,False,False,True,True,improvement_suggestions,,,"What improvements would make this product easier, clearer, and more accessible for you? (Select all that apply)",checkbox,1,,"{""options"": [""Clearer alt text on images"", ""More accurate button labels"", ""Simpler more intuitive navigation"", ""Better colour contrast"", ""Larger or clearer font"", ""Option for dark or high-contrast mode"", ""More visuals or infographics"", ""Simpler language with less jargon"", ""Clearer everyday terminology"", ""Improved search results"", ""Website remembers previous entries"", ""Option to translate content"", ""Audio descriptions for images or videos"", ""Subtitles or captions for videos"", ""More inclusive images"", ""Less clutter and clearer layout"", ""Better support for screen magnification"", ""Quick-access accessibility tools"", ""Features designed for people with disabilities"", ""More direct and helpful calls to action""]}",2026-04-14 03:01:18.443811+00:00,2026-04-14 03:01:18.443811+00:00
d905057f-ba29-466c-a587-35f312904f2b,71a30d97-675d-4584-b1db-92a7c19f265e,b5e0a5cf-9089-4a58-a4ad-361e3d5cde3c,,,False,False,False,True,True,experience_words,,,Which words best describe how the experience made you feel?,checkbox,1,,"{""options"": [""Clear"", ""Confusing"", ""Trustworthy"", ""Overwhelming"", ""Helpful"", ""Accessible"", ""Complicated"", ""Welcoming"", ""Inclusive""]}",2026-04-14 03:01:18.443811+00:00,2026-04-14 03:01:18.443811+00:00
f8651e54-9484-4723-adff-7f8bbb5b8af7,71a30d97-675d-4584-b1db-92a7c19f265e,85443598-d9a6-4eb8-bf74-0093c383df20,,,False,False,False,True,True,assistive_tech_used,,,Which assistive technologies or adaptations did you use for this specific project?,checkbox,1,,"{""options"": [""Auslan interpretation"", ""Colour inversion"", ""Language translation"", ""Magnification"", ""Refreshable braille"", ""Screen reader"", ""Spelling assistance"", ""Strong colour contrast"", ""Subtitles"", ""Not applicable"", ""Other""]}",2026-04-14 03:01:18.443811+00:00,2026-04-14 03:01:18.443811+00:00
007db0ac-0107-42b0-98f8-2a5d18aa66fc,71a30d97-675d-4584-b1db-92a7c19f265e,54097c25-5ee9-44cb-b66a-96073550f4b5,,,False,False,False,True,True,task_completion,,,Were you blocked from completing any of the tasks in this project?,multi_choice,2,,"{""options"": [""I could complete all tasks with ease"", ""I could complete all tasks with workarounds"", ""I could complete all tasks with significant effort or assistance"", ""I couldn't complete some tasks despite trying"", ""I was blocked from completing numerous tasks""]}",2026-04-14 03:01:18.443811+00:00,2026-04-14 03:01:18.443811+00:00
283ce863-be25-4fc1-8805-92c97a4b2405,71a30d97-675d-4584-b1db-92a7c19f265e,913264a2-6435-4338-815b-22337df20bbc,,,False,False,False,False,True,feature_feedback_2,,,Explain how easy and intuitive it was to navigate across the UQ enrolment portal once logged in. Could you easily find the sections you were looking for?,free_text,2,,{},2026-04-14 03:01:18.443811+00:00,2026-04-14 03:01:18.443811+00:00
35e64dd5-d4b7-487d-8b15-912bc43bdf97,71a30d97-675d-4584-b1db-92a7c19f265e,d52b3b18-504f-406a-a734-b2d790b4873a,,,False,False,False,True,True,most_important_factor,,,"When evaluating [product/service] options, what was MOST important to you? (Select the option that best reflects your main priority)",multi_choice,2,,"{""options"": [""Finding the best value or most affordable option"", ""Understanding options and features clearly"", ""[Industry-specific option, e.g., 'Sustainability or environmental impact']"", ""Good customer service and support"", ""Ease of signing up or getting started"", ""Accessibility of the website or app"", ""Trust and reputation of the [provider/company]"", ""Ability to [bundle/combine services, e.g., 'bundle services', 'integrate with other tools']"", ""Clear information about [fees/pricing/terms, e.g., 'pricing', 'contract terms', 'fees']"", ""Recommendations or reviews from others""]}",2026-04-14 03:01:18.443811+00:00,2026-04-14 03:01:18.443811+00:00
